 imposition[名],課税
 improvise[動],即興で演奏する、即席に作る
 imprudent[形],軽率な、思慮の浅い、無分別な
 incompatible[形],相性が悪い、相いれない、互換性のない
 inconsiderate[形],思いやりのない
 incontrovertible[形],議論の余地のない、明白な
 indefinite[形],不明確な、（数や時間などが）限定されていない、不定の
 indelible[形],消えない、決して消え去ることのない
 indigenous[形],原産の、先住の
 indigestion[名],消化不良
 indulgence[名],道楽、甘やかし
 infamous[形],悪名高い、不名誉な
 infiltrate[動],染み込む、浸透する、侵入する
 inflammation[名],炎症、赤くはれること
 infrared[名],赤外線
 insolent[形],横柄な、傲慢な、無礼な
 insomniac[名],不眠症患者
 instantaneously[副],即時に
 insulin[名],インシュリン
 integral[形],不可欠な、完全な
 intermittent[形],断続的な、間欠的な
 internalize[動],内面化する、習得する
 interplay[名],相互作用
 interstellar[形],星間の
 intestine[名],腸
 intrinsically[副],本来、本質的に
 introvert[形],内向的な
 invincible[形],無敵の、打ち負かすことのできない
 irreparable[形],（損害、損傷などが）修復できない、取り返しのつかない
 irrigate[動],水を引く、灌漑する
 irritability[名],短気
 itchy[形],かゆい、うずうずする
 itinerant[形],あちこち旅して歩く
 jellyfish[名],クラゲ
 jolt[動],（急激に）揺さぶる
 knack[名],こつ、要領の良さ、技術
 knighthood[名],騎士道
 lacquer[名],漆
 lament[動],嘆く、嘆き悲しむ、残念に思う
 lava[名],溶岩
 lethal[形],致死の、致命的な
 levity[名],軽薄、不謹慎、軽薄な行動
 liability[名],（賠償の）責任
 librarian[名],司書、図書館員
 licorice[名],甘草、リコリス菓子
 livestock[名],家畜（類）
 lyre[名],竪琴
 lyric[名],抒情詩、（～ｓで）歌詞
 magnanimous[形],度量の大きい
 magnetism[名],磁気、磁性、磁気学
 maize[名],トウモロコシ
 makeshift[形],その場しのぎの、間に合わせの
 mankind[名],人類
 market competition[名],市場競争
 masculine[形],男の、男らしい
 masses[名],（the ～）一般大衆、庶民、多数
 measles[名],はしか
 meiosis[名],減数分裂(還元分裂)
 melting point[名],融解点
 mercantilism[名],重商主義
 metabolism[名],新陳代謝、代謝作用
 metamorphic rock[名],変成岩
