(be) adept at ～,～に熟練した
 eulogize[動],称賛する
 eulogy[名],賛辞、賞賛
 euphoric[形],幸福感に満ちた
 evacuate[動],避難させる、立ち退かせる
 evade[動],避ける、逃れる
 evaporate[動],蒸発する
 evoke[動],呼び起こす、喚起する
 evolve[動],進化する、発達する、発展する
 exacerbate[動],悪化させる、怒らせる
 exasperate[動],腹を立てる
 excavate[動],発掘する、穴を掘る
 excel[動],秀でている、卓越する
 exclusive[形],排他的な、独占的な
 excruciatingly[副],極度に、耐えがたいほど
 execute[動],死刑にする、処刑する
 exemplary[形],模範的な
 exemplify[動],例証する、良い例となる
 exempt[動],免除する
 exempt[形],免除された
 exert[動],（影響などを）及ぼす
 exhilaration[名],大喜び、陽気、ウキウキした気分
 exodus[名],大移動、大量出国
 exonerate[動],容疑を晴らす、無罪とする
 exorbitant[形],法外な、途方もない
 exorcism[名],悪魔払い
 expand[動],広げる、拡張する、拡大する
 expansively[副],広大に、広い視野で
 expedient[形],(目的達成に)役立つ
 expedite[動],はかどらせる、促進する
 expel[動],追放する、排出する
 expenditure[名],費用、出費、支出
 expertise[名],専門的知識、専門技術
 expiate[動],償う
 expire[動],期限切れになる、息をひきとる
 explicit[形],明白な、明確な、率直な
 exploit[動],利用する、つけ込む、搾取する、開発する
 exploratory[形],調査の、探検の
 exponential[形],急激な、指数関数的な
 expropriate[動],没収する、収用する
 expulsion[名],追放、除名、除籍
 expunge[動],抹消する
 exquisite[形],優美な、精緻な、洗練された
 exterminate[動],（害虫などを）駆除する
 extermination[名],絶滅
 externalize[動],言葉で表す、具体化する
 extinct[形],絶滅した
 extinction[名],絶滅、消滅
 extort[動],強要する、無理強いする
 extract[動],抽出する
 extrapolate[動],（既知の事柄から）推定する
 extraterrestrial[形],地球外の
 extravagant[形],浪費する、金遣いの荒い
 extrinsic[形],外在的な、非本質的な
 extrovert[名],外向性の人
 exuberant[形],生気あふれる、生き生きとした
 fabricate[動],作り上げる、でっちあげる、製作する
 facade[名],（建物の）正面、外見
 facet[名],（宝石、結晶などの）彫面、（物事の）一面
 facilitate[動],容易にする、促進する
 faction[名],党派、派閥
 faculty[名],能力、機能
 faculty[名],（大学の）教授陣、学部
 fallacy[名],誤った考え
 fallible[形],誤りを犯す、誤りを免れない
 famine[名],飢饉
 famished[形],飢えている
 fanatically[副],熱狂的に
 fatality[名],死亡者、死亡者数
 fatally[副],致命的に
 fathom[動],（深さを）測る、見抜く、理解する
 faze[動],困惑させる、ひるませる
 feasible[形],実現（実行）可能な
 feat[名],業績、功績
 felicitous[形],適切な、幸運な
 felicity[名],慶事、至福
 felony[名],重罪
 ferocious[形],どう猛な
 fertility[名],肥沃、多産、受精率
 fervor[名],熱烈（さ）、熱心（さ）
 fetter[動],拘束する
 fidelity[名],忠実（度／性）、忠誠、厳守
 fiendish[形],悪魔のような
 figment[名],作り事、絵空事
 filthy[形],卑猥な、不潔な
 fiscal[形],財政の、会計の
 flabbergasted[形],仰天した
 flak[名],激しい非難
 flamboyantly[副],派手に、大胆に、華麗に
 flattery[名],お世辞
 flawed[形],欠点がある
 flawless[形],傷のない、完全な
 flimsy[形],薄くて軽い、薄っぺらの、壊れやすい
 flinch[動],たじろぐ、尻込みする
 flourish[動],繁栄する、繁殖する、繁茂する
 flout[動],ばかにして従わない、無視する
 fluctuate[動],上下する、変動する
 flunk[動],（科目、学科を）落とす
 foil[動],失敗させる、挫折させる
 foist[動],押し付ける、だましてつかませる
 foliage[名],木の葉
 foment[動],助長する、扇動する
 footage[名],（映画の）一場面、シーン
 forage[動],（飼料、食糧を）探し回る
 forebode[動],（悪いこと）を予言する、虫が知らせる
 forensic[形],法廷の、法医学の、討論用の
 forfeit[動],失う、没収される
 forge[動],鍛造する、構築する
 forgo[動],なしですませる、慎む
 formidable[形],手ごわい、ぞっとするような
 fortification[名],要塞、とりで
 fortify[動],要さい化する
 fortress[名],要塞、とりで
 fortuitously[副],偶然に
 foster[動],促進する、育む
 founder[動],失敗する、沈没する
 fragility[名],壊れやすさ
 frail[形],ひ弱な、はかない、もろい
 frantic[形],熱狂した、狂乱した
 fraud[名],詐欺、不正行為
 fraught[形],困難な、緊迫した
 fray[名],争い、いさかい
 frazzle[動],くたくたに疲れさせる、ぼろぼろにすり切らす
 freight[名],貨物
 frenetic[形],熱狂した、狂乱の
 frigid[形],極寒の、寒さが厳しい
 fringe[名],へり、周辺部
 frisk[動],ボディチェックをする
 frugal[形],質素な、倹約する
 fruition[名],達成、実現
 fuel[動],煽る、助長する、増大させる
 fugitive[名],逃亡者
 full-fledged[形],本格的な、羽が生えそろった、一人前の
 fumble[動],手探りする、いじくる
 fumigate[動],〜を燻蒸消毒する
 futile[形],無駄な、無益な、くだらない
gadget[名],（小さい）道具、便利な小道具
 gait[名],足取り、走り方
 gall[名],ずうずうしさ、厚かましさ
 garble[動],（事実を）ゆがめる、誤って伝える、文字化けさせる
 garner[動],蓄える、獲得する、集める
 garnish[動],料理に添える、装飾する
 garrulous[形],おしゃべりな
 gaudy[形],派手な、けばけばしい
 gauge[動],測定する、評価する、判断する
 genetically[副],遺伝子的に
 genial[形],愛想のよい
 gimmick[名],巧妙な仕掛け、新機軸、からくり
 gist[名],要点
 glimpse[名],ちらりと見ること
 glitch[名],不調、故障
 gluttonous[形],食いしんぼうの、大食する、貪欲(どんよく)な
 gnaw[動],かみ切る
 goad[動],あおり立てる、駆り立てる
 gorge[名],谷間、峡谷
 gradient[名],勾配、傾き
 graffiti[名],落書き
 graft[名],移植（片）
 grasp[動],握る、把握する、理解する
 gratified[形],満足している
 gratify[動],～を喜ばせる
 gravity[名],重力、引力
 gregarious[形],社交的な、社交好きな、群生の
 grievance[名],不平、苦情
 grind[動],（粉などを）挽く、すりつぶす、を砕く
 gripe[動],不平、愚痴
 gristle[名],軟骨、すじ
 grouch[名],不平を言う人、ぼやく人
 grudge[名],恨み、遺恨、怨念
 grudgingly[副],しぶしぶ
 grueling[形],極度に疲れさせる、とても辛い（骨の折れる）
 grumble[動],不満を言う
 guarantee[動],保証する
 guise[名],（偽りの）外観、みせかけ、服装
 gullible[形],だまされやすい
 gulp[動],がぶがぶ飲む
 guzzle[動],がぶがぶ飲む、がつがつ食べる
 habitat[名],生息地、生息環境
 habitual[形],習慣的な、いつもの、普段の
 haggard[形],やつれた
 haggle[動],値切る、言い争う
 hallucinate[動],幻覚を見る
 halt[動],中止する、中断する
 hamper[動],邪魔する、妨げる
 haphazardly[副],無計画に、でたらめに
 harbinger[名],前触れ、前兆
 harbor[動],かくまう、隠す
 hardscrabble[形],（土地が）不毛の、やせた
 harness[動],(自然の力)を利用する、(馬)に馬具を付ける
 hatch[動],（卵が）かえる、孵化する
 haunt[動],（幽霊などが）出没する、つきまとう
 haven[名],避難所、保護区
 havoc[名],大混乱、大破壊
 hazard[名],危険
 hazardous[形],（化学物質などが）（人体に）有害な
 heave[動],持ち上げる
 hectic[形],慌ただしい、大変忙しい
 hedge[動],生け垣で囲む、囲んで保護する、（損害を）未然に防ぐ
 hedge[名],垣根、境界
 heed[動],耳を傾ける、気を付ける
 heedless[形],無頓着な、不注意な
 hefty[形],多量の、非常に重い
 heinous[形],極悪非道の
 heist[名],強盗
 hemisphere[名],半球
 hereditary[形],遺伝の
 heretic[名],異教徒
 heritage[名],伝統、遺産
 hibernate[動],冬眠する
 hinder[動],妨げる
 hindrance[名],妨害、邪魔、障害物
 hindsight[名],あとになっての判断
 hoard[動],蓄える
 hobble[動],びっこをひく
 holistic[形],全体論の
 homage[名],尊敬、（封建時代の）臣従の誓い、主従関係
 homogeneous[形],均質の、同種の、同質の
 hone[動],（能力などに）磨きをかける、（技能などを）磨く
 hostile[形],敵意のある、非友好的な
 hover[動],空中に停止する、うろつく
 hub[名],中心（地）、中核
 huddle[動],（寒さなどで）体を寄せ合う
 hull[名],船体、外皮、皮、穀、さや
 humiliate[動],自尊心を傷つける、恥をかかせる
 hunch[名],こぶ、固まり
 hybrid[形],雑種の、混成の、掛け合わせの
 hygiene[名],衛生、衛生管理状態、清潔
 hygienic[形],衛生的な
 hype[名],誇大宣伝
 hypnosis[名],催眠術、催眠状態
 hypnotize[動],催眠術をかける
 hypothesis[名],仮説、仮定
 hypothesize[動],仮説を設ける
 hypothetical[形],仮想的な、仮説の
 icon[名],像、アイコン
 identical[形],同一の
idiosyncrasy[名],特異性、独特な性癖
 idiosyncratic[形],独特な、一風変わった
 ignite[動],点火する
 ignominious[形],不名誉な、屈辱的な
 illegible[形],（文字などが）読みにくい、判定できない
 illiberal[形],偏狭な、狭量な
 illicit[形],違法な、不法な
 immaculate[形],少しも汚れていない、欠点のない、けがれのない
 imminent[形],差し迫った、切迫した
 immunity[名],免疫
 impair[動],損なう、弱める
 impalpable[形],触知できない、容易に理解できない
 impartiality[名],公平、公平さ
 impeach[動],弾劾する、非難する
 impeachment[名],非難、弾劾
 impede[動],妨げる、邪魔する
 impediment[名],障害、障害物
 impel[動],(感情などを)駆り立てる
 impending[形],差し迫った、切迫した
 imperative[形],必須の、避けられない、急務の
 imperious[形],傲慢な、横柄な
 impermeable[形],不浸透性の
 impersonal[形],人間味を欠いた、人間味のない、客観的な
 impervious[形],(精神などが)影響されない
 impetus[名],起動力、はずみ
 implant[動],～を植え付ける、～を移植する
 implement[動],実行する、実践する
 implicate[動],関係させる、巻き込む、含意する
 implicit[形],暗黙の
 implore[動],懇願する
 imposing[形],印象的な、人目を引く、堂々とした
 imposition[名],課税
 impound[動],押収する、囲い込む
 impoverish[動],貧しくする、質を低下させる
 impregnable[形],動じない、難攻不落の
 impromptu[形],即興の、準備なしの
 improvise[動],即興で演奏する、即席に作る
 imprudent[形],軽率な、思慮の浅い、無分別な
 impulse[名],衝動
 impulsive[形],衝動的な
 impunity[名],刑事免責、処罰を受けないこと
 impurity[名],不純物、不純、不潔
 inadvertently[副],何の気なしに、偶然に、うっかり
 inane[形],ばかげた、空虚な
 inanimate[形],生命のない、無生の、無生物の
 inaugurate[動],就任させる、始動させる
 inauguration[名],（大統領の）就任（式）
 incapacitate[動],無力化する、（能力、資格）を奪う
 incarcerate[動],投獄する
 incarnation[名],一時期の姿、前世、化身、権化
 incensed[形],憤慨した、激怒した
 incentive[名],誘因、（やる気を）駆り立てるもの
 inception[名],（活動、組織などの）開始、発端、創設
 incessant[形],絶え間のない
 incidence[名],発生、発生率
 incinerate[動],焼却する
 incipient[形],（病気などが）初期の
 incision[名],切開
 incisive[形],明敏な、鋭い
 incite[動],鼓舞する、励ます、刺激する
 inclement[形],荒れ模様の
 inclusive[形],包括的な
 incoherent[形],一貫性のない、つじつまの合わない
 incongruous[形],不調和な、不釣り合いな
 inconsequential[形],取るに足らない、重要でない
 incredulous[形],疑い深い
 increment[動],増加する
 incubator[名],保育器、起業支援者
 inculcate[動],（思想・知識などを）教え込む、植え付ける
 incumbent[名],現職者、在職者
 incumbent[形],現職の
 incur[動],（損害などを）被る、負う、招く
 indebted[形],恩を受けている
 indelible[形],消えない、決して消え去ることのない
 indemnity[名],損害賠償、賠償金
 indicative[形],はっきり示すような
 indictment[名],起訴、告発、非難、起訴状
 indigenous[形],原産の、先住の
 indignant[形],憤慨した、怒った
 indiscretion[名],軽率な言動、軽率さ
 indiscriminate[形],無差別の、見境のない
 indispensable[形],不可欠な、必須の
 indoctrinate[動],教え込む
 indolence[名],怠惰
 induce[動],引き起こす、誘発する、説得する
 induct[動],就任させる、任命する
 indyllic[形],牧歌的な、のどかな
 inept[形],技量に欠ける
 inert[形],不活性の、不活発な
 inertia[名],慣性、惰性、不活発
 inevitable[形],不可避の、必然的な
 infancy[名],幼年期（時代）
 infatuate[動],夢中にさせる
 infatuated[形],夢中な
 infectious[形],伝染性の、感染性の
 infer[動],推測する、推論する
 infest[動],はびこる、横行する
 infested[形],はびこっている
 infighting[名],内輪もめ、内紛
 infiltrate[動],染み込む、浸透する、侵入する
 infirmity[名],病気、疾患、虚弱、病弱
 inflamed[形],炎症を起こした、扇動されて激化した
 inflammation[名],炎症、赤くはれること
 influx[名],流入、到来
 infraction[名],違反
 infringe[動],権利を侵害する、（法を）破る
 infringement[名],侵害、違反
 infusion[名],注入、点滴
 ingenious[形],巧妙な、独創的な
 ingenuity[名],創意、器用さ
 ingratiate[動],気に入られるようにする
 inhabitant[名],住民、居住者、棲息動物
 inhale[動],吸い込む、吸収する
 inherent[形],生来の、生得の
 inhibit[動],抑制する、（行動、発達などを）妨げる
 inhibition[名],抑制、気おくれ
 inhospitable[形],荒れ果てた、荒涼とした、人を寄せ付けない
 inimical[形],有害な、敵意のある
 initially[副],最初は
 inject[動],注射する、注入する
 inmate[名],（刑務所の）収監者、囚人
 innate[形],生まれながらの、生得的な、先天的な
 innately[副],生来、生まれつき
 inoculate[動],予防接種をする
 inscription[名],碑文
 insignia[名],記章、バッジ
 insinuation[名],ほのめかし
 insipid[形],味気ない
 insolent[形],横柄な、傲慢な、無礼な
 insolvent[形],破産した、支払不能の
 instability[名],不安定
 instill[動],教え込む、染み込ませる
 insubstantial[形],中身のない、ごくわずかな、不十分な
 insulate[動],防音する、断熱する、絶縁する
 insurgent[形],反乱を起こした
 intact[形],無傷の、完全な姿の、手をつけられていない
 intake[名],取り入れ、摂取量
 intangible[形],触ることのできない、ぼんやりした、実体のない
 integral[形],不可欠な、完全な
 integrate[動],統合する、一体化する
 integration[名],統合、統一
 integrity[名],誠実、高潔、正直さ
 inter[動],埋葬する
 intercept[動],割り込む、阻止する
 interim[形],中間の、暫定的な、仮の
 interject[動],（言葉）を差し挟む
 interminable[形],永遠に続く、やむことのない
 intermittently[副],断続的に、間欠的に
 interrogate[動],尋問する
 interstellar[形],星間の
 intervene[動],干渉する、（間に）割って入る、介入する
 intervention[名],介入
 intimate[形],親しい、親密な
 intimidate[動],おどす、脅迫する
 intimidated[形],おじけづいた、及び腰になった
 intolerant[形],不寛容な、狭量な
 intrigue[動],興味をそそる、好奇心をそそる
 intriguing[形],興味深い、興味をそそる
 intrinsic[形],固有の、本来備わっている
 introvert[名],内向性の人
 intrusive[形],でしゃばりの、押しつけがましい
 intuitive[形],直観による、直観的な、勘の鋭い
 inundate[動],殺到する、水浸しにする、氾濫する
 invalid[形],無効な、病弱な
 invaluable[形],非常に価値のある、非常に貴重な
 invariably[副],常に、変わることなく、いつも
 invert[動],逆にする、転化する、ひっくり返す
 inveterate[形],常習的な、根深い
 invigorate[動],活性化する、活力を与える
 invincible[形],無敵の、打ち負かすことのできない
 invoke[動],生じさせる、呼び覚ます
 irascible[形],短気な
 iridescent[形],玉虫色の、きらきら光る
 irk[動],イライラさせる
 irrational[形],不合理な、筋の通らない
 irrelevant[形],無関係の、見当違いの、重要でない
 irreparably[副],修復できないほど
 irresolute[形],優柔不断な、決断力のない
 irrevocable[形],取り消せない、変更できない
 irrigation[名],灌漑
 jaded[形],うんざりした、疲れ果てた
 jeer[動],あざける
 jeopardize[動],危うくする、危機に陥れる、台無しにする
 jeopardy[名],危険、危険にさらされること
 jiggle[動],小刻みに動かす、細かく動く
 jilt[動],（恋人を）捨てる
 jinx[名],悪運（をもたらすもの）
 jostle[動],突く、押しやる、押し分けて進む
 jubilant[形],歓声を上げて喜ぶ
 judicious[形],思慮分別のある、賢明な
 jumble[動],ごちゃ混ぜにする、混乱させる
 jumbled[形],ごちゃまぜになった
 juncture[名],決定的な時点、局面、岐路
 jurisdiction[名],司法権、裁判権、管轄
 juror[名],陪審員
 justify[動],正当化する、正当だと証明する
 juvenile[形],青少年の、未成年者の
 keepsake[名],形見、記念品
 kindred[形],同種の、よく似た、関連のある
 knack[名],こつ、要領の良さ、技術
lackluster[形],精彩を欠いた、ぱっとしない、活気のない
 lag[動],遅れる
 lambaste[動],厳しく非難する、酷評する
 lament[動],嘆く、嘆き悲しむ、残念に思う
 land[動],着陸する、上陸する、水揚げする、着陸させる
 languid[形],気力に欠ける、やる気のない
 languish[動],みじめな生活をする、しぼむ、元気がなくなる
 languishing[形],沈滞する
 lanky[形],背が高くて細い
 lapse[名],小さな過失、時の経過
 larceny[名],窃盗（罪）
 lassitude[名],無気力、倦怠
 latent[形],潜伏期の、潜在的な
 latitude[名],緯度
 lavish[形],気前の良い、ぜいたくな、豪華な
 layman[名],素人
 leeway[名],余裕、（自由裁量の）余地
 leftover[名],（食べ物などの）残り物
 legislate[動],法律を制定する
 legislature[名],立法府
 legitimacy[名],適法性、正当性
 legitimate[形],妥当な、筋の通った、合法的な
 lethal[形],致死の、致命的な
 leverage[名],てこの作用、効力、影響力、レバレッジ
 levitate[動],空中を浮遊する
 levity[名],軽薄、不謹慎、軽薄な行動
 levy[名],徴税、課税、賦課金
 liability[名],（賠償の）責任
 liaison[名],（組織間の）連絡、連絡係
 libel[名],名誉棄損（きそん）、中傷的な言辞
 liken[動],たとえる、なぞらえる
 limb[名],手足、肢
 limp[形],ぐったりした、弱々しい
 lineage[名],血統、血筋、種族
 linger[動],居残る、ぐずぐずする、長引く
 linkage[名],連結
 liquidate[動],（負債などを）清算する、（会社など）整理する
 litigate[動],訴訟に持ち込む
 litigation[名],訴訟
 livestock[名],家畜（類）
 lobby[動],ロビー活動する、陳情する
 logistically[副],兵站上で、物資面で
 longevity[名],長命、長生き、寿命
 loom[動],不気味に現れる、そびえ立つ、不気味に迫る
 loophole[名],抜け道、抜け穴
 loot[動],略奪する
 loquacious[形],おしゃべりの、話し好きな
 lubricate[動],滑らかにする、潤滑油を差す
 lucrative[形],利益の上がる、もうかる
 luminary[名],専門家、エキスパート
 lunar[形],月の
 lurch[動],よろめきながら進む
 lure[動],引き寄せる、誘い込む
 lure[名],魅惑、魅力
 lurk[動],身を潜める、待ち伏せする
 luster[名],光沢
 magnetism[名],磁気、磁性、磁気学
 malevolent[形],悪意のある、よこしまな
 malice[名],悪意
 malign[動],中傷する、害を及ぼす
 malignant[形],悪意のある、悪性の
 malleability[名],可鍛(かたん)性
 malleable[形],（金属が）可鍛性の、順応性のある
 mandate[動],命じる、義務づける、～の統治を委任する
 mandatory[形],義務的な、必須の
 maneuver[動],(巧みに)操縦する、操作する
 maneuver[名],操作、操縦、作戦行動、策略
 mangle[動],ずたずたに切る、めちゃめちゃにする、台無しにする
 manifest[形],明らかな
 manipulate[動],操る、操作する
 mar[動],損なう、台無しにする
 marginally[副],かろうじて、わずかに
 massacre[名],大虐殺
 materialize[動],現実に起こる、具体化する
 matriculate[動],大学に入学する、入学を許可される
 maxim[名],格言、原理
 mayhem[名],騒動、大騒ぎ
 meager[形],乏しい、貧弱な、痩せた
 meander[動],くねくねと曲がる
 meddle[動],干渉する、手出しをする
 mediate[動],調停する、仲介する
 mediator[名],調停者
 medieval[形],中世の
 mediocre[形],並の、平凡な、普通の
 meditate[動],瞑想する
 meekly[副],従順に、おとなしく
 memoir[名],回想録、伝記
 menace[名],脅威、脅迫
 menacingly[副],威嚇するように
 menial[形],（仕事が）単純で退屈な、卑しい
 mentor[名],恩師、良き指導者、教師
 merge[動],合併する、合流する
 mesmerize[動],魅力する、催眠術をかける
 metabolize[動],新陳代謝する
 metaphor[名],隠喩、暗喩
 meticulous[形],極めて注意深い
 microbe[名],細菌、微生物
 microscopic[形],微細な、非常に小さな
 microscopically[副],極めて詳細に
 migraine[名],偏頭痛
migrate[動],移動する、移住する、（鳥などが）渡る
 migration[名],移住、移動、渡り、回避
 migratory[形],移動の
 milestone[名],道しるべ、画期的事件、節目
 mimicry[名],模倣、まね
 mirage[名],蜃気楼
 miscellaneous[形],種々雑多な
 misnomer[名],誤った名称/呼び方
 mitigate[動],（苦痛などを）軽減する
 mock[動],ばかにする、物まねをしてふざける
 mock[形],模擬の
 modicum[名],少量
 modulate[動],調整する
 molecule[名],分子
 mollify[動],（怒りなど）を和らげる、なだめる
 molt[動],脱皮する
 momentous[形],重大な、重要な
 momentum[名],勢い、機運、運動量
 monarch[名],絶対君主、国王
 monopolize[動],独占する
 monopoly[名],独占、専売
 monotonously[副],単調に
 moot[形],無意味な、非現実的な、疑わしい
 morale[名],士気、風紀
 morass[名],難局、泥沼状態
 morsel[名],一口、わずか、ひとかけら
 mortality[名],死亡、死すべき運命、死亡率
 mortgage[名],住宅ローン、抵当、担保
 mosaic[名],モザイク、寄木細工
 mount[動],増す、高まる
 mount[動],すえつける、載せる
 muffled[形],（音が）弱められた
 multitude[名],多数、群衆
 mundane[形],この世の、ありきたりの、日常の、
 municipality[名],自治体、市当局
 munificent[形],気前のよい
 murky[形],暗い、陰気な、濁った、うさん臭い
 muster[動],喚起する、招集する
 mutate[動],突然変異する、変化する
 mutation[名],突然変異
 mutinous[形],反抗的な
 mutter[動],つぶやく、ぶつぶつ不平を言う
 myriad[名],無数
 mystique[名],神秘的な雰囲気
 naive[形],素朴な、愚直な、単純な、お人好しな、世間知らずの
 namely[副],すなわち、つまり
 narrowly[副],かろうじて
 naturalization[名],帰化
 nebulous[形],漠然とした、あいまいな
 negligent[形],怠慢な、無頓着な
 negligible[形],ごくわずかな、取るに足らない
 neural[形],神経（系）の
 neurologist[名],神経学者
 neutrality[名],中立
 niche[名],生態的地位、隙間市場、ニッチ
 niggle[動],つまらぬことで悩む
 nomadic[形],遊牧（民）の、放浪の
 nominal[形],ほんのわずかの、名目上の
 nominally[副],名目上は
 norm[名],規範、典型
 notable[形],有名な、注目すべき
 novelty[名],目新しい物事、斬新さ
 novice[名],初心者
 nucleus[名],核
 nudge[動],ひじで軽く突く、優しく説得する
 nuisance[名],厄介なこと/人、迷惑
 nullify[動],無効にする
 numb[形],かじかんだ、まひした、ぼうぜんとした
 nurture[動],育てる、栄養を与える
 obfuscate[動],わかりにくくする
 obligatory[形],義務的な、必須の
 oblique[形],斜めの、遠回しな
 obliterate[動],完全に破壊する
 oblivion[名],忘却
 oblivious[形],忘れている、気づいてない
 obnoxious[形],非常に不快な、嫌な、反抗的な
 obscure[形],不明瞭な、知られていない、曖昧な
 obscurity[名],暗がり、無名、不明箇所
 obsequious[形],こびへつらうような、卑屈な
 obsessive[形],取りついて離れない、しつような、異常なほどの、（～に）取りつかれて、執念をもって
 obsolete[形],すたれた、時代遅れの
 obstinate[形],頑固な、強情な
 obstruct[動],妨害する、さえぎる
 obtrusive[形],押し付けがましい、出しゃばりの
 obtuse[形],鈍い、鈍角の
 occidental[形],西洋の
 odious[形],嫌気の指すような
 ominous[形],不吉な、悪いことの前兆となる
 omit[動],除く、省く、削除する
 ongoing[形],進行中の、継続中の
 onrush[名],突撃、突進
 onset[名],始まり、着手、（病気などの）兆候
 onslaught[名],猛攻撃、強襲
 opaque[形],不透明な、（意味などが）分かりにくい
 opposable[形],向かい合わせにできる、抵抗できる
 oppress[動],抑圧する
 optimum[形],最適の、最善の
 opulent[形],ぜいたくな、裕福な、豊富な
 orchestrate[動],画策する
 ordeal[名],苦しい試練
 ordinance[名],法令、布告
 ornithological[形],鳥類学の
 orthodontist[名],歯列矯正医
 ostracize[動],追放する、排斥する
 oust[動],（権利などを）取り上げる、追放する
 outage[名],機能停止期間、供給停止期間
 outlive[動],〜より長生きする
 outrage[動],激怒させる、憤慨させる
 outrage[名],怒り、怒りをもたらすもの
 outright[副],完全に、明白に
 outright[形],徹底的な、率直な
 outweigh[動],～より重い、～に勝る、～を上回る
 overdue[形],期日が過ぎた、期限切れの
 overhaul[動],徹底的に見直す、精査する
 overly[副],過度に、非常に
 override[動],無効にする、覆す、優先する
 overrun[動],行きすぎる、限度を超える
 oversight[名],見落とし、見過ごし
 overt[形],あからさまな、明白な
 pacify[動],なだめる、静める、鎮定する
 palatable[形],口に合う、おいしい、受け入れられる
 palate[名],口蓋(こうがい)
 pallid[形],（顔・肌などが）青白い、つまらない
 paltry[形],取るに足りない、微々たる
 pamper[動],（子供など）を甘やかす、（欲望など）を思う存分満たす
 panacea[名],万能薬、解決策
 pandemic[形],（世界的に）流行性している
 pandemonium[名],大混沌、修羅場
 pander[動],迎合する
 paragon[名],模範、手本
 paralysis[名],まひ、停滞
 parameter[名],要因、媒介変数、パラメーター
 paramount[形],最高の、主要な、卓越した
 parasite[名],寄生虫、寄生動物
 pare[動],皮をむく／はぐ、そぎ落とす、切り取る
 parity[名],同等、等価、同格
 parry[動],（攻撃・質問など）をかわす、受け流す
 pasture[名],牧草地、牧場
 patent[名],特許（権）、特許品
 paternity[名],父親であること、父性
 pathetic[形],痛ましい、哀れを誘う、みじめな
 patriot[名],愛国者
 patronage[名],（芸術、事業などの）後援、保護、奨励
 paucity[名],不足、欠乏、少数、少量
 pawn[動],質（担保）に入れる
 pedestrian[形],徒歩の
 peer[名],同僚、仲間
 pendulum[名],振り子
 penetrate[動],貫く、突破する、浸透する
 penitent[形],悔い改めた、後悔している
 perceptible[形],知覚できる、感じられるほどの、かなりの
 perception[名],知覚、認知、認識
 percolate[動],こす、ろ過する、しみ通る
 perennial[形],長く続く、多年生の
 perforation[名],ミシン目、切り取り線
 perfunctory[形],いい加減な、やる気のない
 perilous[形],危険な、危険の多い
 perimeter[名],（図形の）周囲
 periphery[名],周辺部、外周
 perish[動],死ぬ、消え去る、滅びる
 perk[名],(俸給以外の)特典、恩恵
 permeate[動],～に染み込む、浸透する
 permium[名],保険料、（保険の）掛け金
 perpetrate[動],（犯罪などを）犯す
 perpetrator[名],加害者、犯罪者
 perpetuate[動],永存させる
 perplexed[形],困惑した
 persecute[動],迫害する
 persecution[名],迫害
 perseverance[名],忍耐、辛抱、不屈の精神
 persist[動],固執する、（習慣などが）存続する
 personable[形],好感の持てる、感じのよい、魅力的な
 perspective[名],視点、見方、遠近法、透視図法
 pertinent[形],関連する、適切な
 perturb[動],心をかき乱す、不安にさせる
 peruse[動],を精読する、熟読する
 pervade[動],充満する、広がる、蔓延する
 pervasive[形],隅々に広がった、浸透する、充満する
 perverse[形],ひねくれた、あいにくの、邪悪の
 pesky[形],うるさい、やっかいな
 pest[名],害虫、疫病
 pesticide[名],殺虫剤
 petrified[形],石化した、ぼうぜん自失状態の
 petrify[動],ぼうぜんとさせる、すくませる
 phase[名],段階、局面
 phenomenal[形],驚異的な、並外れた
 philanthropy[名],慈善（活動）
 phonetic[形],音声上の
 pigment[名],絵の具、色素
 pinnacle[名],頂上、頂点、最盛期
 pinpoint[動],（原因などを）正確に指摘する
 pious[形],信心深い、敬謙な
 pique[動],立腹させる、刺激する
 pitfall[名],落とし穴、陥りやすい間違い
 placate[動],なだめる、和らげる、落ち着かせる
 placebo[名],偽薬、プラシーボ
 placid[形],穏やかな、落ち着いた
 plagiarism[名],盗用、盗作
 plagiarize[動],盗作する、盗用する
 plague[動],苦しめる
 plaintiff[名],原告、告訴人
 platitude[名],陳腐な言葉、ありきたりの決まり文句
 plausible[形],もっともらしい、理にかなっている
 plea[名],答弁、抗弁、嘆願、請願
 plead[動],嘆願する、懇願する
 pledge[動],誓約する、保証する
 pledge[名],公約、誓約
 pliable[形],曲げやすい、柔軟な、適応性のある
 plight[名],窮状
 plot[名],（映画、物語などの）筋、構想、たくらみ
 plummet[動],（価格などが）急落する
 plunder[動],略奪する
 plunge[動],押し込む、突っ込む、(価格などが)急落する
 poach[動],密漁/密猟する
 poignant[形],心が痛む、心を打つ
 polarization[名],二極化
 pollination[名],受粉
 polytheistic[形],多神教の
 ponder[動],熟考する、思案する
 possessed[形],取りつかれた
 posterior[名],後代、子孫
 posthumously[副],死後に
 postulate[動],仮定する、前提と考える
 posture[名],姿勢、方針、態度
 potent[形],強力な、良く効く
 potential[形],潜在的な、可能性を秘めた
 pounce[動],襲いかかる、飛びかかる
 pragmatic[形],実践的な、実用的な
 precarious[形],不安定な、心もとない、当てにならない
 precede[動],（～に）先行する
 precedence[名],優先、先行
 precedent[名],先例、前例、判例
 precipitate[動],引き起こす、促進する
 precipitation[名],降水、降水量
 precipitous[形],険しい、断崖絶壁の
