 furnace[名],炉、溶鉱炉
 genetic[形],遺伝的な、遺伝子の
 geological[形],地質学的な
 geology[名],地質学
 geometry[名],幾何学
 gigantic[形],巨大な
 glacier[名],氷河
 glory[名],栄光、誇り、名声
 gospel[名],福音書
 gracious[形],親切な
 grandson[名],孫息子
 gravel[名],砂利
 gravity[名],重力、引力
 greed[名],強欲、貪欲
 gut[名],腸、はらわた、根性
 habitat[名],生息地、生息環境
 habitually[副],習慣的に
 hamper[動],邪魔する、妨げる
 harmoniously[副],協調して
 hasty[形],急いだ、せわしい、早まった
 hazard[名],危険
 hazardous[形],（化学物質などが）（人体に）有害な
 heartbeat[名],心拍
 herald[名],先触れ、先駆者
 herd[名],（牛などの）群れ
 hereditary[形],遺伝の
 heroine[名],（女性の）英雄、主人公
 hierarchy[名],（社会の）階層
 hormone[名],ホルモン
 hostile[形],敵意のある、非友好的な
 hostility[名],敵意
 hug[動],抱きしめる
 humidity[名],湿気
 hybrid[名],交配種、掛け合わせ、ハイブリッド車
 hydrogen[名],水素
 ideology[名],イデオロジ―、思想傾向
 illuminate[動],照らす、明らかにする
 immunity[名],免疫
 impairment[名],障害
 implication[名],含蓄、ほのめかし、結果
 implicitly[副],それとなく
 imprison[動],刑務所に入れる
 improbable[形],ありそうもない、信じがたい
 incentive[名],誘因、（やる気を）駆り立てるもの
 incidental[形],臨時の、付随して起こる、偶然の
 indecisive[形],優柔不断の
 indifferent[形],無関心な
 industrious[形],勤勉な
 infer[動],推測する、推論する
 influenza[名],インフルエンザ
 ingenious[形],巧妙な、独創的な
 inherent[形],生来の、生得の
 inhibit[動],抑制する、（行動、発達などを）妨げる
 injustice[名],不正、不法
 innate[形],生まれながらの、生得的な、先天的な
 inspiration[名],ひらめき、（ひらめきに対する）刺激、インスピレーション
 institute[動],（法律、制度を）制定する、実施する
 integration[名],統合、統一
 intensive[形],集中的な、集約的な、激しい、強い
 intercourse[名],交際、交わり
 intimacy[名],親密さ
 intrinsic[形],固有の、本来備わっている
 invariably[副],常に、変わることなく、いつも
 ironically[副],皮肉なことに
 irony[名],皮肉
 irresponsible[形],無責任な、責任感のない
 jet aircraft[名],ジェット機
 just[形],公正な、正しい
 juvenile[形],青少年の、未成年者の
 kin[名],血縁、親族
 knitting[名],編むこと、編み物
 labor union[名],労働組合
 laborer[名],労働者
 lead[名],鉛
 lecturer[名],講演者、講師
 lest[接],～しないように
 lid[名],（容器の）ふた
 lighthouse[名],灯台
 limb[名],手足、肢
 linear[形],線形の、直線の
 linguistic[形],言語の、言語学の
 liver[名],肝臓
 lizard[名],トカゲ
 lump[名],こぶ、かたまり
 lure[動],引き寄せる、誘い込む
 machinery[名],機械（類）
 manipulate[動],操る、操作する
 mar[動],損なう、台無しにする
 mass media[名],マスメディア
 mass production[名],大量生産
 massacre[名],大虐殺
 mechanics[名],力学
 mechanize[動],機械化する
 meditation[名],瞑想
 menace[名],脅威、脅迫
 metric[形],メートルの、メートル法の
 metropolis[名],大都市
 metropolitan[形],大都市の、首都圏の
 Middle Ages[名],（the -）中世
 might[名],力
 migrate[動],移動する、移住する、（鳥などが）渡る
 migration[名],移住、移動、渡り、回避
