 (be) addressed to ～ [動],（～に）宛先を記す(to …)
 descend[動],降りる、下降する
 despair[名],絶望
 despite[前],～にもかかわらず
 destination[名],目的地
 detail[名],細部、詳細
 devote[動],（金、時間、労力を）ささげる
 difference[名],相違、違い
 digital[形],デジタル（方式）の、数字で表示する
 discount[動],割引する、軽視する
 discourage[動],やる気を失わせる、思いとどまらせる、妨げる
 discovery[名],発見
 discuss[動],話し合う、議論する
 dismiss[動],解散させる、散会させる
 display[名],展示、陳列、（感情などの）表れ
 dispute[名],論争
 distance[名],距離
 distant[形],距離のある、遠い、離れた
 distinction[名],区別、相違点
 disturb[動],混乱させる、妨害する
 dizzy[形],めまいがする
 drama[名],演劇、ドラマ
 draw[動],引き寄せる、引き付ける、～を引き出す
 drawback[名],欠点、難点
 drift[動],漂う、漂流する、流される
 drip[名],したたること、滴下、しずく
 earn[動],（金などを）得る、稼ぐ
 earnest[形],まじめな、熱心な、本気の
 eastern[形],東（方）の
 economic[形],経済の、経済学の
 economy[名],経済
 eliminate[動],除去する、削除する
 elsewhere[副],他のところで
 embarrass[動],恥ずかしい思いをさせる
 emotion[名],感情
 empty[形],空（から）の、誰もいない
 encourage[動],奨励する、励ます、促す
 endanger[動],危険にさらす
 ending[名],終わり
 endure[動],耐える、辛抱する、持ちこたえる、我慢する
 Englishman[名],イギリス人男性
 enlarge[動],拡大する、広くする
 entertain[動],楽しませる
 entertaining[形],面白い、愉快な
 entitle[動],権利/資格を与える
 entry[名],入ること、入学、入社、（競技会などへの）登録、記入
 envelope[名],封筒
 equipment[名],装備、機器、設備
 especially[副],特に
 essay[名],小論文、随筆、エッセー
 establish[動],設立する、確立する
 eternal[形],永遠の、永久の
 EU[名],欧州連合
 evaluate[動],評価する、査定する
 everyday[形],毎日の、日々の
 evidence[名],証拠、証言
 evil[形],邪悪な、悪質な
 exceed[動],～にまさる、～の上を行く、超える
 exchange[動],交換する
 exhibition[名],展覧会、展示会
 expand[動],広げる、拡張する、拡大する
 expense[名],経費、出費、支出
 experience[名],経験、体験
 explain[動],説明する
 explanation[名],説明、弁明
 explode[動],爆発する、破裂する
 export-import[形],輸出入の
 fable[名],寓話
 fabric[名],織物、布地
 faith[名],信頼、信仰、信念
 fake[形],にせ物の
 far[副],はるかに、かなり、遠くへ
 farewell[形],別れの
 farming[名],農場経営、農業
 farther[副],より遠く、far の比較級
 fashion[名],流行（のスタイル）
 fasten[動],しっかり固定する、結ぶ
 fat[名],脂肪、油脂
 fat[形],太った、脂肪分の多い
 feeling[名],感情、気持ち
 fellow[名],男、友達、仲間、特別研究員
 finally[副],ついに、とうとう、最後に
 financially[副],経済的に、財政上
 fire[動],発射する、火を噴く
 firm[名],会社
 fit[動],（大きさ、形が）適合する、合う
 fixed[形],固定した
 flame[名],炎
 flee[動],逃げる、避ける
 flexible[形],柔軟な、融通のきく
 float[動],浮く、浮かぶ、（物・人を）流す
 flour[名],小麦粉
 flourish[動],繁栄する、繁殖する、繁茂する
 flutter[動],パタパタする、はためく
 focus[名],焦点
 foggy[形],霧のかかった、霧の深い
 follow[動],ついていく、～に続く、～に従う
 forbid[動],禁じる
 force[名],力、影響力
 foreign[形],外国の
 forever[副],永久に、永遠に
 formation[名],形成
 former[形],前の、かつての、前者の
 fortune[名],富、財産、幸運
 forum[名],公開討論会
 fragile[形],壊れやすい、もろい
 frank[形],率直な
 freeze[動],凍る、動かなくなる
 fuel[名],燃料
 fulfill[動],（要求、目的などを）満たす、かなえる
 fundamental[形],基本的な、根本的な
 fur[名],毛皮
 gap[名],ギャップ、格差、隔たり
 generate[動],発生させる、作り出す
 generation[名],世代、同世代の人々
 generosity[名],気前の良さ、寛大さ
 generous[形],寛容な、気前の良い
 genius[名],天才
 genre[名],（文学、音楽などの）ジャンル、様式
 genuine[形],純粋な、誠実な、本物の
 glance[名],ちらりと見ること
 global[形],世界的規模の、国際的な
 globe[名],球体、地球
 glow[名],輝き、紅潮
 goat[名],ヤギ
 grand[形],豪華な
 grant[動],与える、許可する
 greatly[副],非常に、大いに
 grind[動],（粉などを）挽く、すりつぶす、を砕く
 guard[名],護衛者、番人、守り
 habit[名],習慣、癖
 halt[名],（一時的）停止、休止
 handwritten[形],手書きの
 hang[動],ぶら下げる、つるす、掛ける、掛かる
 hardware[名],金物類、(コンピューターの)ハードウェア、兵器
 harm[名],害、損害
 harvest[動],収穫する、刈り入れる
 hasten[動],を早める、促進する
 hate[動],嫌う、憎む
 head[動],導く、率いる、先頭に立つ
 headquarters[名],本部、本社、司令部
 heal[動],治癒する、治す、治る
 health[名],健康、健康状態、衛生
 healthy[形],健康な、元気な
 height[名],身長、高さ
 hen[名],めんどり
 heroic[形],英雄的な、雄々しい、勇ましい
 highlight[動],強調する、目立たせる
 hold[名],つかむこと、影響力、支配力
 hollow[形],空洞の、くぼんだ、空虚な、うわべだけの、内容のない
 holy[形],神聖な
 hooked[形],かぎ状の、かぎ形の
 horizon[名],地平線、水平線
 horizontal[形],水平の、地平線の
 horror[名],恐怖、恐ろしさ
 hospitality[名],歓迎、もてなし
 host[名],主催者、接待役、司会者
 housekeeping[名],家事、家政
 huge[形],巨大な
 hunger[名],飢え、空腹
 idealistic[形],理想主義的な
 identity[名],正体、身元、アイデンティティー
 idiot[名],ばか
 ignore[動],無視する、知らないふりをする
 illegally[副],違法に
 imagination[名],空想、想像力
 imply[動],暗に意味する、ほのめかす
 impression[名],印象
 impressive[形],印象的な
 incapable[形],能力がない、無力の
 include[動],含む
 including[前],～を含めて
 inclusion[名],包含、包括、算入
 income[名],収入、所得
 incorrect[形],不正確な、不適当な
 increase[動],増える、増やす、増す
 increasing[形],増え続ける、ますます増える
 independent[形],独立した、自主の
 Indonesian[形],インドネシアの
 infection[名],感染、感染症
 inferior[形],より劣った、下位の、下級の
 influential[形],影響力の大きい、影響力のある
 inform[動],知らせる、通知する
 ingredient[名],成分、原料、構成要素
 injure[動],傷つける、けがをさせる、～を痛める
 insecure[形],心配な、不安な、不確かな
 inspection[名],調査、検査
 instead[副],その代わりに
 instrument[名],道具、器具、楽器
 insufficient[形],不十分な、不適当な
 intention[名],意思、意図
 interactive[形],相互に作用する、双方向性の
 interior[形],内側の、室内の
 internal[形],内部の、内側の、国内の
 investigate[動],調査する、研究する
 investment[名],投資
 involve[動],参加させる、関与させる、関わる
 involved[形],かかわっている、参加している
 Irish[形],アイルランドの
 irritation[名],いらだち、いらだたせるもの、ヒリヒリすること、刺激、炎症
 isle[名],島、小島
 Italian[名],イタリア人（語）
 item[名],品目、項目、品物
 jail[名],刑務所、拘置所
 joint[名],関節
 jointly[副],共同して
 journalist[名],ジャーナリスト、報道記者
 jury[名],陪審、陪審団
 keen[形],熱心な
 keen[形],（感覚が）鋭敏な
 keyboard[名],（鍵盤楽器の）鍵盤
 kite[名],凧
 knee[名],膝
 laboratory[名],実験室、研究室
 lamb[名],子ひつじ
 landscape[名],景色、展望、景観
 lantern[名],手提げランプ、ちょうちん
 last[動],継続する、持ちこたえる
 last[形],（theを前に置いて）最も可能性の低い
 launch[動],開始する、着手する、発射する、売り出す
 launch[名],開始、発売
 laundry[名],洗濯（物）
 leave[動],出発する、去る、やめる
 left[形],残されて、残っている
 less[副],より少なく、little の比較級
 level[形],平らな
 lever[名],てこ、レバー
 license[動],認める、認可する、免許を与える
 likewise[副],同様に
 limit[名],最高（最大）限度、限界
 link[名],つながり、関連、（Webの）リンク
 little[形],ほとんどない
 live[形],生きた、生きている、生の
 lively[形],活気のある、活発な
 locate[動],（場所などを）突き止める、特定する、見つける
 location[名],場所、位置
 lock[動],（ドアなどに）カギをかける
 logic[名],論理、論理学
 lonely[形],孤独な、ひとりぼっちの
 lot[名],1区画、敷地
 lovely[形],かわいい、愛らしい、美しい、すばらしい
 luggage[名],手荷物
 luxury[名],ぜいたく（品）
 machine[名],機械
 mad[形],怒った、発狂した
 magnetic[形],磁石の、人を引き付ける
 mainly[副],主に、大部分は
 major[形],重要な、主要な
 make[動],～になる、～（の状態）にする
