 heir[名],相続人
 helium[名],ヘリウム
 hemisphere[名],半球
 hinder[動],妨げる
 historical drama[名],歴史劇
 holding[名],所有者、持ち株
 homeland[名],母国、自治区
 hoof[名],ひづめ
 humble[形],卑しい、身分が低い
 humble[形],謙虚な、つつましい、質素な
 hurl[動],強く投げつける、放り投げる
 hurriedly[副],急いで
 hybrid[形],雑種の、混成の、掛け合わせの
 hypocrisy[名],偽善
 illusion[名],錯覚、思い違い、幻想
 imaginable[形],想像できる
 imaginative[形],想像力に富んだ
 impair[動],損なう、弱める
 implicit[形],暗黙の
 imposing[形],印象的な、人目を引く、堂々とした
 inactive[形],怠惰な、活動していない
 incidentally[副],偶然に、付随的に
 incomprehensible[形],理解できない、わかりにくい
 incredibly[副],非常に、（信じられないぐらい）すごく
 indication[名],しるし、兆候
 indispensable[形],不可欠な、必須の
 industrialization[名],産業化、工業化
 industrialize[動],産業化（工業化）する
 infinite[形],無限の
 infinitely[副],無限に
 infrastructure[名],経済基盤、社会基盤
 inheritance[名],継承、相続、遺産、遺伝
 injection[名],注射
 installation[名],設備、設置
 institute[名],（芸術、理工系の）学校、研究機関
 integrity[名],誠実、高潔、正直さ
 intensify[動],激化する
 intentionally[副],故意に、意図的に
 interest rate[名],利子率
 interrelate[動],相互に関係する
 interscience[形],学際的な
 intersection[名],交差点
 intervene[動],干渉する、（間に）割って入る、介入する
 intriguing[形],興味深い、興味をそそる
 ironic[形],皮肉な
 jolly[形],楽しい、愉快な
 judicial[形],司法の、裁判の
 kingdom[名],王国
 landmark[名],（建物などのような）目印、重要な出来事
 lash[動],むちで打つ
 lavish[動],気前よく与える、浪費する
 legacy[名],遺産
 legend[名],伝説、伝説的な人物
 legislate[動],法律を制定する
 legislative[形],立法権のある、立法の
 lengthy[形],長い、長期にわたる、冗長な
 lessen[動],少なくする、減らす、小さくする
 leverage[名],てこの作用、効力、影響力、レバレッジ
 lick[動],なめる
 life - size[形],実物大の
 likelihood[名],公算、見込み、可能性
 linger[動],居残る、ぐずぐずする、長引く
 literacy[名],読み書きの能力、(特定の分野の)技能、知識
 livelihood[名],生計、生活手段
 loud[形],（服、色などが）けばけばしい、派手な
 loyalty[名],忠誠、忠義、愛顧
 magma[名],マグマ
 manifest[形],明らかな
 mantle[名],マントル（惑星の内部の層）
 manuscript[名],原稿
