Jura,法律
die Philosophie,哲学
die Psychologie,心理学
die Medizin,医学
die Biologie,生物学
die Chemie,化学
die Physik,物理学
die Mathematik,数学
die Soziologie,社会学
die Geschichte,歴史
die Architektur,建築
die Kunst,アート
die Kultur,文化
das Lied,歌
malen,絵を描く
zeichnen,スケッチする
die Literatur,文学
der Schriftsteller,作家(男)
die Schriftstellerin,作家(女）
der Autor,著者(男)
die Autorin,著者(女）
übersetzen,翻訳する
die Wirtschaft,経済
sparen,貯金する、節約する
die Industrie,業界
die Fabrik,工場
die Maschine,機械
das Holz,木材
bauen,建設する
reparieren,修理する
die Politik,政治
der König,王様
die Königin,女王
der Präsident,大統領(男)
die Präsidentin,大統領(女)
das Internet,インターネット
mailen,メールする
lieb,愛する
die Luftpost,航空便
die Postkarte,はがき
die Briefmarke,切手
das Paket,郵便小包
senden,送る
die Information,情報
die Nachricht,ニュース
das Programm,プログラム
die Zeitschrift,雑誌
der Körper,身体
das Gesicht,顔
der Arm,腕
das Bein,足
der Finger,指
die Haare,髪
der Hals,首
der Rücken,背中
die Schulter,肩
der Bauch,腹
der Magen,胃
das Herz,心臓
der Bart,髭
die Stimme,声
schlank,スリム
die Krankheit,病気
die Erkältung,風邪
die Grippe,インフルエンザ
das Medikament,薬
die Maus,ネズミ
die Kuh,牛
der Bär,クマ
das Blatt,葉
der Bach,小川
das Feld,フィールド
das Gebirge,山脈
die Insel,島
die Landschaft,風景
die Erde,土、地面
der Himmel,空
die Luft,空気
der Blitz,稲妻
das Feuer,火
schneien,雪が降る
fallen,落ちる
übermorgen,明後日
die Sekunde,秒
die Mitternacht,真夜中
die Feiertag,休日
das Neujahr,新年
die Jahreszeit,季節
der Anfang,初め
anfangen,始める
das Ende,終わり
enden,終わる
dauern,(時間が)かかる、続く
der Osten,東
der Westen,西
der Süden,南
der Norden,北
die Richtung,方向
der Ort,場所
die Nähe,近く
die Ecke,角
die Mitte,真ん中
die Seite,側、ページ
der Grad,度
das Gramm,グラム
das Prozent,パーセント
die Temperatur,温度
die Zahl,数
zählen,数える
rechnen,計算する
der Teil,部分
die Form,形
rund,丸い
sollen,should
mögen,may
lassen,let
stellen,put
Lass uns ～,～しようよ
legen,lay
öffnen,開く
schließen,閉める
drücken,押す
ziehen,引く
schlagen,打つ
schauen,見る
klopfen,ノックする
sich setzen,座る
sammeln,集める
fangen,捕まえる
leihen,貸します
treten,歩む、踏む
außer,以外は
entlang,に沿って
gegenüber,向かい
ab,から
pro,per
per,by
wegen,because of
trotz,despite
während,while
statt,instead of
diesmal,今回
nun,今
sofort,直ちに
pünktlich,時間内に
endlich,最後に
zuerst,最初
nächst,next
letzt,last
täglich,毎日
meistens,mostly
manchmal,sometimes
das Mal,that time
zweimal,twice
etwa,約
alles,すべて
meist,ほとんどの
mehrere,いくつかの
einige,いくつか
ein paar,少数
ziemlich,かなり
weniger,より少ない
kaum,ほとんどない
überhaupt,全くない
unbedingt,絶対に
allein,一人で
selbst,自分で
einzig,唯一の
beide,両方とも
einander,お互い
weiter,継続する
draußen,外側
neidrig,低い
tief,深い
eng,狭い、(服が)きつい
berit,幅の広い
nah/nahe,近い
fern,遠い
entfernt,遠く離れた
faul,堕胎な
streng,厳格な
herzlich,心からの
perfekt,完全な、完璧な
besser,よりよい
best,もっともよい
hübsch,かわいい
hässlich,醜い
schlimm,悪い
komisch,奇妙な、風変わりな
nötig,必要な
schwierig,難しい
egal,どうでもいい
sicher,きっと、安全
bestimmt,きっと、確かに
wahrscheinlich,おそらく
wohl,たぶん
möglich,可能な
dumm,ばかな
klug,賢い
intelligent,知的な
praktisch,実用的な
weich,やわらかい
hart,かたい
wahr,真実の
echt,本物の、純粋な
verschieden,異なった
ähnlich,(～に)似ている
anders,違った風に
besonder,特別な
eigen,自分の、特有の
fremd,外国の、知らない
berühmt,名高い
bekannt,有名な
beliebt,人気のある
böse,怒った
willkommen,歓迎される
blind,目の見えない
rufig,静かな
stil,静止した
beschäftigt,忙しい
satt,満腹の
bereit,準備のできた
fertig,用意ができた
weg,離れて
bequem,快適な
angenehm,心地よい
sauber,清潔な
schmutzig,不潔な
nass,ぬれた
trocken,乾いた
leer,空の
voll,いっぱいの
besetzt,空いている
gefährlich,危険な
